Scientific Name,USDA SYMBOL,CoC Region,CVal Orig,CVal New
ANDROMEDA POLIFOLIA VAR. GLAUCOPHYLLA,ANPOG,WI,NA,10
ANDROPOGON,ANDRO2,58,NA,4
ANDROPOGON VIRGINICUS,ANVI2,59,3,3
ANEMONE,ANEMO,MI,NA,5
ANEMONE CANADENSIS,ANCA8,MI,4,4
ANEMONE CANADENSIS,ANCA8,MN,3,3
ANEMONE QUINQUEFOLIA,ANQU,58,5,5
ANEMONE QUINQUEFOLIA,ANQU,58,5,5
ANEMONE QUINQUEFOLIA,ANQU,58,5,5
ANEMONE QUINQUEFOLIA,ANQU,59,6,6
ANEMONE QUINQUEFOLIA,ANQU,59,6,6
ANEMONE QUINQUEFOLIA,ANQU,59,6,6
ANEMONE QUINQUEFOLIA,ANQU,59,6,6
ANEMONE QUINQUEFOLIA,ANQU,WI,6,6
ANEMONE QUINQUEFOLIA VAR. BIFOLIA,ANQUB2,MN,NA,5
ANEMONE QUINQUEFOLIA VAR. QUINQUEFOLIA,ANQUQ,59,NA,6
ANEMONE QUINQUEFOLIA VAR. QUINQUEFOLIA,ANQUQ,59,NA,6
ANEMONE QUINQUEFOLIA VAR. QUINQUEFOLIA,ANQUQ,59,NA,6
ANEMONE VIRGINIANA,ANVI3,IN,NA,4
ANEMONE VIRGINIANA,ANVI3,WI,5,5
ANTHOXANTHUM ODORATUM,ANOD,58,0,0
ANTHOXANTHUM ODORATUM,ANOD,59,0,0
ANTHOXANTHUM ODORATUM,ANOD,61,NA,0
ANTHOXANTHUM ODORATUM,ANOD,83,0,0
ANTHOXANTHUM ODORATUM,ANOD,83,0,0
ANTHOXANTHUM ODORATUM,ANOD,MI,0,0
APIACEAE,APIACE,60,NA,Und
APIACEAE,APIACE,MI,NA,Und
APIOS AMERICANA,APAM,58,4,4
APIOS AMERICANA,APAM,58,4,4
APIOS AMERICANA,APAM,58,4,4
APIOS AMERICANA,APAM,59,4,4
APIOS AMERICANA,APAM,59,4,4
APIOS AMERICANA,APAM,59,4,4
APIOS AMERICANA,APAM,62,6,6
APIOS AMERICANA,APAM,IN,3,3
APIOS AMERICANA,APAM,MI,3,3
APIOS AMERICANA,APAM,MN,4,4
APOCYNUM ANDROSAEMIFOLIUM,APAN2,IN,6,6
APOCYNUM ANDROSAEMIFOLIUM,APAN2,MI,3,3
APOCYNUM ANDROSAEMIFOLIUM,APAN2,MN,NA,2
APOCYNUM CANNABINUM,APCA,62,2,2
APOCYNUM CANNABINUM,APCA,83,3,3
APOCYNUM CANNABINUM,APCA,IN,2,2
APOCYNUM CANNABINUM,APCA,MI,NA,3
APOCYNUM CANNABINUM,APCA,MN,3,3
AQUILEGIA CANADENSIS,AQCA,MN,4,4
ARALIA NUDICAULIS,ARNU2,58,5,5
ARALIA NUDICAULIS,ARNU2,58,5,5
ARALIA NUDICAULIS,ARNU2,58,5,5
ARALIA NUDICAULIS,ARNU2,58,5,5
ARALIA NUDICAULIS,ARNU2,58,5,5
ARALIA NUDICAULIS,ARNU2,59,4,4
ARALIA NUDICAULIS,ARNU2,59,4,4
ARALIA NUDICAULIS,ARNU2,59,4,4
ARALIA NUDICAULIS,ARNU2,59,4,4
ARALIA NUDICAULIS,ARNU2,59,4,4
ARALIA NUDICAULIS,ARNU2,61,7,7
ARALIA NUDICAULIS,ARNU2,82,4,4
ARALIA NUDICAULIS,ARNU2,83,5,5
ARALIA NUDICAULIS,ARNU2,83,5,5
ARALIA NUDICAULIS,ARNU2,MI,5,5
ARALIA NUDICAULIS,ARNU2,MN,4,4
ARALIA NUDICAULIS,ARNU2,WI,6,6
ARALIA RACEMOSA,ARRA,58,7,7
